melodieid,count,decade
4002,3,1640
359,3,1640
5099,3,1640
9620,3,1640
3505,3,1640
2715,3,1640
11292,3,1640
8161,3,1640
4671,3,1640
8513,3,1640
457,3,1640
4397,3,1640
5593,3,1640
7228,3,1640
4192,3,1640
1559,3,1640
4193,2,1640
7247,2,1640
7185,2,1640
9116,2,1640
9066,2,1640
665,2,1640
9364,2,1640
12614,2,1640
7268,2,1640
2501,2,1640
2899,2,1640
6270,2,1640
9607,2,1640
9074,2,1640
1280,2,1640
1000,2,1640
1363,2,1640
6964,2,1640
12926,2,1640
1367,2,1640
263,2,1640
8814,2,1640
2564,2,1640
1018,2,1640
6010,2,1640
8492,2,1640
3683,2,1640
2479,2,1640
12858,2,1640
4147,2,1640
7544,2,1640
763,2,1640
2148,2,1640
1189,2,1640
4992,2,1640
8097,2,1640
6639,2,1640
53,2,1640
972,2,1640
10623,2,1640
7160,2,1640
7250,2,1640
7236,2,1640
7210,2,1640
2983,2,1640
7167,2,1640
926,2,1640
8420,2,1640
7182,2,1640
6590,2,1640
2997,2,1640
11265,2,1640
4981,2,1640
13104,2,1640
1438,2,1640
2514,2,1640
7413,2,1640
2441,2,1640
3924,2,1640
3043,2,1640
3899,2,1640
4319,2,1640
4754,2,1640
9402,2,1640
7934,2,1640
854,2,1640
2895,2,1640
1368,2,1640
671,2,1640
13418,2,1640
13068,2,1640
1037,2,1640
8330,2,1640
9163,2,1640
308,2,1640
6039,2,1640
5300,2,1640
7350,2,1640
6547,2,1640
9020,2,1640
7871,2,1640
91,2,1640
11702,2,1640
11701,2,1640
6107,2,1640
1757,2,1640
6269,2,1640
2277,2,1640
6180,2,1640
4109,2,1640
8366,2,1640
7938,2,1640
11698,2,1640
8798,2,1640
11699,2,1640
7314,2,1640
3404,2,1640
4852,2,1640
11700,2,1640
6635,2,1640
7562,2,1640
748,2,1640
3755,2,1640
5453,2,1640
7339,2,1640
8796,2,1640
9035,2,1640
9259,2,1640
1166,2,1640
8877,2,1640
5173,2,1640
4641,2,1640
7367,2,1640
563,2,1640
4128,2,1640
6212,2,1640
1283,2,1640
2040,2,1640
3215,2,1640
7809,2,1640
13894,2,1640
3628,2,1640
12713,2,1640
8332,2,1640
725,1,1640
7245,1,1640
9500,1,1640
2301,1,1640
2106,1,1640
9301,1,1640
202,1,1640
3250,1,1640
2471,1,1640
9175,1,1640
3721,1,1640
3367,1,1640
5087,1,1640
6166,1,1640
7189,1,1640
7861,1,1640
385,1,1640
1999,1,1640
5428,1,1640
10283,1,1640
2083,1,1640
9619,1,1640
9249,1,1640
7851,1,1640
6678,1,1640
410,1,1640
9352,1,1640
3152,1,1640
6990,1,1640
8300,1,1640
1721,1,1640
4342,1,1640
1079,1,1640
7494,1,1640
7011,1,1640
9304,1,1640
1381,1,1640
9356,1,1640
9058,1,1640
2986,1,1640
6778,1,1640
4343,1,1640
2712,1,1640
1056,1,1640
6161,1,1640
8158,1,1640
5351,1,1640
7497,1,1640
4919,1,1640
2340,1,1640
1362,1,1640
1341,1,1640
1339,1,1640
1354,1,1640
1371,1,1640
1413,1,1640
10145,1,1640
6823,1,1640
12925,1,1640
2832,1,1640
12113,1,1640
4041,1,1640
9315,1,1640
3065,1,1640
836,1,1640
1287,1,1640
9793,1,1640
36,1,1640
11098,1,1640
11319,1,1640
3919,1,1640
11097,1,1640
12047,1,1640
6957,1,1640
1343,1,1640
6856,1,1640
1361,1,1640
7326,1,1640
4845,1,1640
1365,1,1640
2868,1,1640
4973,1,1640
8243,1,1640
382,1,1640
497,1,1640
2759,1,1640
1257,1,1640
715,1,1640
7863,1,1640
365,1,1640
6245,1,1640
1357,1,1640
1356,1,1640
4964,1,1640
2424,1,1640
3644,1,1640
13032,1,1640
1353,1,1640
6675,1,1640
6604,1,1640
4996,1,1640
7864,1,1640
7424,1,1640
4276,1,1640
7422,1,1640
1425,1,1640
1270,1,1640
4129,1,1640
6764,1,1640
9117,1,1640
7197,1,1640
8632,1,1640
7454,1,1640
12794,1,1640
3979,1,1640
